#,Municipio,Población (censo 2022),Departamento
172,Itapé,6070,Guairá
173,Caapucú,6045,Paraguarí
174,R.I. Tres Corrales,6021,Caaguazú
175,Nanawa,6005,Presidente Hayes
176,Santiago,5995,Misiones
177,Santa Rosa del Monday,5923,Alto Paraná
178,Valenzuela,5907,Cordillera
179,Campo Aceval,5848,Presidente Hayes
180,General Delgado,5695,Itapúa
181,Nueva Germania,5690,San Pedro
182,Doctor Raúl Peña,5617,Alto Paraná
183,Puerto Casado,5439,Alto Paraguay
184,Zanja Pytá,5419,Amambay
185,Ybytymí,5360,Paraguarí
186,Mariscal López,5338,Caaguazú
187,Isla Pucú,5304,Cordillera
188,La Colmena,5254,Paraguarí
189,Sapucai,5218,Paraguarí
190,Jesús,5197,Itapúa
191,José Fassardi,5139,Guairá
192,San Miguel,5116,Misiones
193,Fulgencio Yegros,5072,Caazapá
194,Domingo Martínez de Irala,5035,Alto Paraná
195,Unión,5032,San Pedro
196,Primero de Marzo,4997,Cordillera
197,Karapaí,4988,Amambay
198,Nueva Alborada,4896,Itapúa
199,Nueva Toledo,4826,Caaguazú
200,Doctor Cecilio Báez,4812,Caaguazú
201,Félix Pérez Cardozo,4805,Guairá
202,General Bernardino Caballero,4795,Paraguarí
203,Escobar,4747,Paraguarí
204,Simón Bolívar,4740,Caaguazú
205,General Higinio Morínigo,4728,Caazapá
206,Nueva Colombia,4602,Cordillera
207,Quyquyhó,4589,Paraguarí
208,Fuerte Olimpo,4586,Alto Paraguay
209,Coronel Martínez,4505,Guairá
210,Capitán Carmelo Peralta,4402,Alto Paraguay
211,Santa Elena,4346,Cordillera
212,Cerrito,4340,Ñeembucú
213,Buena Vista,4296,Caazapá
214,Antequera,4250,San Pedro
215,Yataity del Guairá,4173,Guairá
216,San José del Rosario,4119,San Pedro
217,Paso Barreto,3988,Concepción
218,Santa Fe del Paraná,3981,Alto Paraná
219,Iruña,3943,Alto Paraná
220,Natalicio Talavera,3843,Guairá
221,Loma Grande,3836,Cordillera
222,Doctor Moisés Santiago Bertoni,3815,Caazapá
223,San Juan Bautista de Ñeembucú,3803,Ñeembucú
224,José Falcón,3693,Presidente Hayes
225,Nueva Londres,3594,Caaguazú
226,Maciel,3461,Caazapá
227,San Pablo,3415,San Pedro
228,Villa Oliva,3377,Ñeembucú
229,Mbocayaty del Yhaguy,3316,Cordillera
230,La Pastora,3294,Caaguazú
231,Tebicuarymí,3225,Paraguarí
232,San Patricio,3193,Misiones
233,Nueva Asunción,3172,Presidente Hayes
234,General José Eduvigis Díaz,3164,Ñeembucú
235,Villa Florida,3066,Misiones
236,Mayor José Martínez,3037,Ñeembucú
237,San José Obrero,2974,Cordillera
238,María Antonia,2968,Paraguarí
239,Ñumí,2864,Guairá
240,Bahía Negra,2768,Alto Paraguay
241,Teniente Esteban Martínez,2743,Presidente Hayes
242,Tacuaras,2717,Ñeembucú
243,La Paz,2669,Itapúa
244,Tebicuary,2639,Guairá
245,Laurel,2586,Canindeyú
246,San Salvador,2565,Guairá
247,General José María Bruguez,2491,Presidente Hayes
248,José Leandro Oviedo,2417,Itapúa
249,Humaitá,2391,Ñeembucú
250,San Alfredo,2385,Concepción
251,Itacuá,2377,Concepción
252,Laureles,2323,Ñeembucú
253,Itanará,2191,Canindeyú
254,Isla Umbú,2166,Ñeembucú
255,Yabebyry,2142,Misiones
256,Paso de Patria,1809,Ñeembucú
257,Villalbín,1613,Ñeembucú
258,Guazú Cuá,1393,Ñeembucú
259,Puerto Adela,1326,Canindeyú
260,Doctor Bottrell,1321,Guairá
261,Desmochados,1171,Ñeembucú
262,Villa Franca,1138,Ñeembucú
263,San Carlos del Apa,856,Concepción
